feature,source_family,transform_type,identity_proxy,development_nonmissing_rows,development_coverage,development_unique_nonmissing,development_standard_deviation,development_transitions_with_data,minimum_required_rows,minimum_required_transitions,target_blind_keep
demographic__סה_כ_נשים_בסוף_השנה__level,demographic,level,False,395,0.041816641964852845,388,45119.62997270908,2,150,2,True
demographic__אחוז_באוכלוסייה_בסוף_השנה_בני_4_0__level,demographic,level,False,395,0.041816641964852845,246,3.137918958742243,2,150,2,True
demographic__אחוז_באוכלוסייה_בסוף_השנה_בני_9_5__level,demographic,level,False,395,0.041816641964852845,224,2.2862297658897717,2,150,2,True
demographic__אחוז_באוכלוסייה_בסוף_השנה_בני_14_10__level,demographic,level,False,395,0.041816641964852845,223,1.8488472159045874,2,150,2,True
demographic__אחוז_באוכלוסייה_בסוף_השנה_בני_19_15__level,demographic,level,False,395,0.041816641964852845,218,1.8702338177852764,2,150,2,True
demographic__אחוז_באוכלוסייה_בסוף_השנה_בני_29_20__level,demographic,level,False,395,0.041816641964852845,326,3.0388381078229174,2,150,2,True
demographic__אחוז_באוכלוסייה_בסוף_השנה_בני_44_30__level,demographic,level,False,395,0.041816641964852845,322,2.7551288715106166,2,150,2,True
demographic__אחוז_באוכלוסייה_בסוף_השנה_בני_59_45__level,demographic,level,False,395,0.041816641964852845,326,3.5077701542967343,2,150,2,True
demographic__אחוז_באוכלוסייה_בסוף_השנה_בני_64_60__level,demographic,level,False,395,0.041816641964852845,189,1.2797569917672864,2,150,2,True
demographic__אחוז_באוכלוסייה_בסוף_השנה_בני_65_ומעלה__level,demographic,level,False,395,0.041816641964852845,304,5.3654880866773,2,150,2,True
demographic__אחוז_באוכלוסייה_בסוף_השנה_בני_17_0__level,demographic,level,False,395,0.041816641964852845,312,7.345442978404666,2,150,2,True
demographic__אחוז_באוכלוסייה_בסוף_השנה_בני_75_ומעלה__level,demographic,level,False,395,0.041816641964852845,244,2.562407097188632,2,150,2,True
demographic__יחס_תלות_ל_1_000_תושבים_בלתי_תלויים__level,demographic,level,False,395,0.041816641964852845,346,211.23757145094953,2,150,2,True
demographic__שיעור_פריון_כולל__level,demographic,level,False,277,0.029324581833580353,148,1.0074542437561005,2,150,2,True
demographic__פטירות_תינוקות_ממוצע__level,demographic,level,False,333,0.03525301715011645,50,6.890675239821011,2,150,2,True
demographic__שיעור_פטירות_מתוקנן_ל_1_000_תושבים__level,demographic,level,False,383,0.040546262968452255,215,1.0176944779730814,2,150,2,True
demographic__ריבוי_טבעי_ל_1_000_תושבים__level,demographic,level,False,395,0.041816641964852845,355,8.120204509658222,2,150,2,True
demographic__אחוז_גידול_האוכלוסייה_לעומת_השנה_הקודמת__level,demographic,level,False,395,0.041816641964852845,259,2.911314705577804,2,150,2,True
demographic__אחוז_עולים_בהשתקעות_ראשונה_בני_17_0__level,demographic,level,False,291,0.030806690662714378,158,18.98704076567921,2,150,2,True
demographic__אחוז_עולים_בהשתקעות_ראשונה_בני_44_18__level,demographic,level,False,302,0.031971204742748255,152,21.664874504510948,2,150,2,True
demographic__אחוז_עולים_בהשתקעות_ראשונה_בני_64_45__level,demographic,level,False,303,0.03207706965911497,152,13.427004875397165,2,150,2,True
demographic__אחוז_עולים_בהשתקעות_ראשונה_בני_65_ומעלה__level,demographic,level,False,303,0.03207706965911497,134,10.483587412614098,2,150,2,True
demographic__מאזן_הגירה_ביישוב_סה_כ__level,demographic,level,False,393,0.041604912132119413,286,973.0306443915126,2,150,2,True
demographic__מאזן_הגירה_פנימית__level,demographic,level,False,388,0.041075587550285834,275,1089.728392340112,2,150,2,True
demographic__נכנסים_מיישובים_אחרים_סה_כ__level,demographic,level,False,390,0.041287317383019266,322,2286.3718566391294,2,150,2,True
demographic__נכנסים_מיישובים_אחרים_גברים__level,demographic,level,False,388,0.041075587550285834,269,1186.9539298346224,2,150,2,True
demographic__נכנסים_מיישובים_אחרים_נשים__level,demographic,level,False,390,0.041287317383019266,298,1103.5178532413438,2,150,2,True
