model,feature,feature_type,training_missing_pct,training_unique_non_missing,kept,reason
Ridge — socioeconomic only,current_feature__income__אחוז שינוי ריאלי לעומת השנה הקודמת של שכר ממוצע לחודש של שכירים נשים,numeric,50.11135857461024,197,False,missingness_above_threshold
Ridge — socioeconomic only,current_feature__income__מספר השכירים,numeric,50.11135857461024,222,False,missingness_above_threshold
Ridge — socioeconomic only,current_feature__income__אחוז השכירים המשתכרים עד שכר מינימום,numeric,50.11135857461024,162,False,missingness_above_threshold
Ridge — socioeconomic only,current_feature__income__מספר העצמאים,numeric,50.11135857461024,209,False,missingness_above_threshold
Ridge — socioeconomic only,"current_feature__income__הכנסה ממוצעת לחודש של העצמאים (ש""ח",numeric,50.11135857461024,224,False,missingness_above_threshold
Ridge — socioeconomic only,current_feature__income__אחוז שינוי ריאלי של הכנסה ממוצעת לחודש של העצמאים לעומת השנה הקודמת,numeric,50.11135857461024,207,False,missingness_above_threshold
Ridge — socioeconomic only,current_feature__income__אחוז העצמאים המשתכרים עד מחצית השכר הממוצע,numeric,50.11135857461024,143,False,missingness_above_threshold
Ridge — socioeconomic only,"current_feature__income__מדד אי-השוויון שכירים (מדד ג'יני, 0 שוויון מלא",numeric,50.11135857461024,26,False,missingness_above_threshold
Ridge — socioeconomic only,current_feature__income__כלל בעלי הכנסה מספר,numeric,100.0,0,False,missingness_above_threshold
Ridge — socioeconomic only,current_feature__income__כלל בעלי הכנסה שכר ממוצע,numeric,100.0,0,False,missingness_above_threshold
Ridge — socioeconomic only,current_feature__income__גברים מספר בעלי הכנסה,numeric,100.0,0,False,missingness_above_threshold
Ridge — socioeconomic only,current_feature__income__גברים שכר ממוצע,numeric,100.0,0,False,missingness_above_threshold
Ridge — socioeconomic only,current_feature__income__נשים מספר בעלי הכנסה,numeric,100.0,0,False,missingness_above_threshold
Ridge — socioeconomic only,current_feature__income__נשים שכר ממוצע,numeric,100.0,0,False,missingness_above_threshold
Ridge — socioeconomic only,current_feature__income__בעלי הכנסה משכר מספר,numeric,100.0,0,False,missingness_above_threshold
Ridge — socioeconomic only,current_feature__income__בעלי הכנסה משכר שכר ממוצע,numeric,100.0,0,False,missingness_above_threshold
Ridge — socioeconomic only,current_feature__income__בעלי הכנסה עסקית מספר,numeric,100.0,0,False,missingness_above_threshold
Ridge — socioeconomic only,current_feature__income__בעלי הכנסה עסקית שכר ממוצע,numeric,100.0,0,False,missingness_above_threshold
Ridge — socioeconomic only,current_feature__income__בעלי הכנסה משכר ועסקית מספר,numeric,100.0,0,False,missingness_above_threshold
Ridge — socioeconomic only,current_feature__income__בעלי הכנסה משכר ועסקית שכר ממוצע,numeric,100.0,0,False,missingness_above_threshold
Ridge — socioeconomic only,current_feature__income__שכירים השתכרים מתחת לשכר המינימום מספר,numeric,100.0,0,False,missingness_above_threshold
